coco_id,caption
146656,a long white bus sitting in the middle of a road
146656,a long bus is going down a crowded street
146656,traffic with large buses and cars going two directions
146656,personal and commuter vehicles (buses) in a european country where drivers use the left side of the road for driving
146656,very many vehicles moving against each other on the road
373988,dozens of people standing around in the snow near a hotel
373988,a group is gathered outside in the snow
373988,many people outside at a winter event in the mountains
373988,a crowd of people standing outside of a hotel on snow covered ground
373988,a group of people that are standing in the snow
